DayNum,Trip,VehId,Total Distance(km),Total Time(secs),Total Idling Time(secs), Total Fuel Consumed(L),Total CO2 Emissions(g)
1.94814230555,771,450,5.872,695.400,124.400,0.225,260.521
5.64246542592,789,450,15.170,1764.900,412.100,0.786,877.218
5.88032478704,790,450,1.722,386.900,220.800,0.098,103.957
7.57921024074,799,450,3.314,243.400,35.300,0.101,102.847
11.6603619907,811,450,1.746,124.000,0.000,0.084,99.046
12.6017712037,813,450,7.050,678.500,52.400,0.359,464.407
12.8154499167,815,450,1.790,277.500,90.900,0.123,162.634
13.8176214722,825,450,12.573,877.000,58.000,0.588,682.067
15.6437102778,836,450,15.235,1836.600,440.800,0.756,944.626
15.8762168056,837,450,1.807,406.400,204.700,0.162,185.309
15.9459998148,838,450,8.101,758.200,96.800,0.359,422.465
16.0743402407,840,450,13.188,1487.300,313.300,0.556,702.646
16.6703478982,841,450,15.262,1700.100,327.000,0.725,883.393
16.8305705278,842,450,1.790,205.100,34.900,0.113,150.584
17.6849950185,845,450,9.283,1119.800,231.900,0.416,521.346
18.642431213,848,450,13.754,1650.500,394.200,0.728,882.872
18.7936712037,849,450,1.043,127.400,18.400,0.059,75.218
19.6417971018,850,450,15.162,1821.800,430.600,0.776,1021.272
21.7230266759,864,450,9.795,903.700,88.500,0.477,577.960
21.7472038148,865,450,3.809,383.500,7.100,0.195,245.888
21.7728459167,868,450,2.949,312.700,82.100,0.150,168.748
22.9496469537,874,450,6.789,747.000,85.400,0.263,322.903
23.0468286667,876,450,5.777,562.200,64.000,0.292,388.339
26.950969463,887,450,15.796,1249.700,233.300,0.684,788.974
26.9946446389,888,450,1.255,230.700,89.500,0.092,112.846
27.0837034259,889,450,15.278,815.900,61.100,0.891,1007.391
28.7575496389,900,450,5.300,336.800,33.400,0.278,353.160
28.9665679537,905,450,2.009,145.500,5.600,0.083,107.635
29.7051919259,907,450,3.857,223.900,0.000,0.119,141.566
29.8769835556,909,450,1.717,572.300,386.800,0.104,126.746
31.92566325,918,450,8.324,1182.000,338.200,0.373,436.856
32.7901053611,926,450,1.687,239.500,82.900,0.103,137.414
33.6416893333,930,450,15.330,1608.200,193.100,0.770,1017.490
33.7693048426,931,450,5.932,566.400,80.300,0.292,367.095
34.6543722037,937,450,10.448,979.400,203.700,0.486,581.550
35.9632879537,946,450,1.192,84.000,0.000,0.051,65.656
36.6957958333,947,450,9.859,1049.600,215.300,0.473,587.210
36.8769817037,948,450,1.732,188.700,25.700,0.090,122.803
36.9652924537,949,450,8.541,975.400,50.700,0.316,389.812
37.6603465093,950,450,1.743,145.600,13.100,0.069,83.546
37.8520358426,951,450,1.814,222.300,31.500,0.121,166.064
37.9458974537,952,450,8.715,1001.200,124.400,0.373,422.769
38.8757337037,956,450,1.759,287.500,101.900,0.120,143.721
40.8765244167,966,450,1.141,285.000,147.000,0.082,86.081
41.6537034815,972,450,9.722,1710.600,817.400,0.524,594.814
43.6568944167,977,450,15.986,2500.000,478.300,0.907,1036.537
44.6489610926,985,450,15.841,2008.300,333.600,0.758,887.590
44.9349041019,987,450,1.994,371.600,109.200,0.089,104.337
45.6425243796,988,450,15.144,2130.800,287.700,0.778,858.552
45.7606841944,989,450,9.168,1728.100,299.700,0.597,697.360
48.5784123333,990,450,15.099,1485.800,268.100,0.761,887.504
50.6427093241,1004,450,15.204,1822.400,410.800,0.812,1004.832
50.9924096296,1009,450,2.814,274.600,30.400,0.111,132.985
51.9481286204,1013,450,8.819,1057.600,116.200,0.334,413.602
52.9336513056,1019,450,8.477,1062.400,156.600,0.360,456.098
53.0517739722,1020,450,2.580,350.500,59.400,0.140,164.471
53.6428898426,1021,450,14.581,1615.400,303.000,0.722,910.090
53.9449129907,1023,450,10.113,1210.800,149.100,0.436,534.031
54.9555106204,1026,450,1.890,115.300,0.000,0.066,74.030
63.7760415556,1033,450,1.169,70.200,0.000,0.064,87.042
65.8637451852,1040,450,2.599,388.400,114.500,0.206,252.665
66.9021585648,1042,450,1.162,102.300,0.000,0.063,70.176
71.9064713241,1062,450,5.600,607.300,97.100,0.254,300.720
71.9550118889,1063,450,7.565,901.000,186.300,0.414,521.488
72.6296966852,1064,450,15.196,1588.600,382.500,0.827,999.267
72.9062569074,1068,450,8.411,1029.000,227.000,0.366,468.217
74.005166537,1073,450,9.327,892.100,52.900,0.395,461.152
74.3990254074,1074,450,9.414,953.500,111.100,0.453,542.104
78.9461298519,1092,450,1.437,112.000,8.900,0.066,75.074
79.6016321852,1093,450,15.818,1720.700,290.100,0.920,1065.542
81.6439559259,1108,450,13.019,608.200,49.500,0.679,843.049
82.6388933148,1113,450,2.007,123.900,0.000,0.109,136.073
82.8792217593,1115,450,8.389,996.200,168.500,0.382,455.562
83.0550803426,1116,450,9.404,873.500,103.100,0.466,538.354
83.6778204722,1120,450,3.907,237.200,0.000,0.211,229.748
83.7766041481,1122,450,3.004,240.000,5.700,0.148,172.240
85.6019460093,1123,450,15.219,1494.400,259.700,0.798,966.653
85.8348533981,1126,450,1.745,356.600,175.800,0.117,157.321
85.9167063148,1127,450,1.761,139.200,0.000,0.073,79.346
87.8959141296,1134,450,3.081,229.900,0.000,0.167,193.672
89.6429831204,1140,450,1.746,236.700,46.400,0.103,118.648
89.9316051574,1142,450,3.021,235.400,0.000,0.146,167.317
90.5639139259,1147,450,6.762,560.600,134.000,0.290,337.205
92.6296824074,1153,450,15.899,1992.500,267.100,0.878,991.594
93.6350776759,1156,450,2.972,266.400,59.600,0.185,244.331
96.6145507963,1164,450,23.131,2488.800,680.200,1.443,1778.692
96.7560071667,1167,450,3.917,213.300,0.000,0.263,288.286
98.8321345185,1176,450,1.150,95.400,0.000,0.059,66.856
98.9015170648,1178,450,1.189,114.700,0.000,0.075,95.433
100.598727731,1182,450,15.885,1701.400,384.200,0.912,1106.791
100.659110398,1183,450,11.640,1039.700,244.700,0.583,737.566
100.712078537,1184,450,9.032,687.200,75.000,0.463,561.799
101.921667074,1190,450,2.954,279.400,80.800,0.148,196.286
102.886250148,1194,450,3.034,237.200,8.800,0.187,238.678
105.850716602,1199,450,1.186,96.800,0.000,0.063,81.195
106.956719944,1204,450,6.796,478.000,0.000,0.341,387.035
107.622425574,1205,450,15.825,1999.200,618.300,0.954,1143.185
107.927792565,1209,450,11.709,1574.100,489.600,0.642,818.841
108.622901991,1211,450,15.268,1717.600,467.800,0.743,872.326
108.75466,1212,450,7.682,827.400,197.500,0.397,445.068
108.895904685,1214,450,1.765,155.600,17.000,0.077,97.103
108.910185537,1215,450,103.264,3565.800,33.800,8.837,953.503
109.007487509,1217,450,3.359,261.400,0.000,0.124,158.577
109.016446704,1218,450,3.879,245.500,0.000,0.178,182.020
110.096397343,1222,450,3.887,264.600,0.000,0.177,194.318
110.950104111,1224,450,1.856,206.300,94.300,0.128,121.422
111.782408213,1228,450,4.032,353.800,37.900,0.160,176.861
115.833813176,1240,450,1.064,199.800,73.800,0.067,72.163
115.870647741,1241,450,9.369,889.100,76.100,0.449,551.337
116.612159667,1242,450,15.157,1472.800,232.400,0.755,875.209
118.632116111,1249,450,6.790,544.700,131.400,0.383,437.738
119.600701685,1259,450,13.006,633.800,63.700,0.731,861.189
120.602501324,1263,450,13.732,1306.700,202.600,0.691,841.435
120.899592963,1265,450,6.393,657.800,57.200,0.232,297.222
122.707236333,1274,450,1.177,78.800,0.000,0.058,70.904
122.857460759,1276,450,4.593,498.800,111.400,0.232,282.090
123.601523407,1279,450,17.325,1971.000,414.000,0.940,1101.094
123.80131737,1280,450,1.764,363.300,66.400,0.100,114.146
124.904298241,1284,450,9.410,871.600,114.900,0.458,509.894
131.83491125,1296,450,1.775,258.100,103.700,0.144,165.399
136.003731722,1313,450,1.885,117.900,8.200,0.089,101.710
136.834464583,1316,450,1.165,180.000,58.100,0.068,67.476
136.990958259,1318,450,3.005,228.200,0.000,0.180,220.274
137.602540806,1319,450,15.160,1594.200,405.500,0.761,899.220
137.92829587,1324,450,10.640,958.400,67.900,0.471,588.341
139.97632887,1329,450,3.004,249.900,23.100,0.155,187.603
140.918674324,1336,450,3.381,244.800,0.000,0.184,227.011
140.958590759,1337,450,3.918,241.700,0.000,0.196,228.783
141.907049694,1340,450,7.108,718.500,122.800,0.313,403.515
142.0189465,1341,450,6.969,591.300,71.400,0.334,408.564
142.793350037,1343,450,1.050,128.700,11.100,0.048,63.747
144.639343843,1347,450,2.009,173.200,37.000,0.080,103.521
146.835958741,1355,450,1.480,226.400,118.200,0.067,122.516
146.880449296,1358,450,1.175,79.300,0.000,0.051,93.788
147.539428037,1359,450,2.516,195.900,28.100,0.075,127.906
147.852293981,1362,450,1.174,72.300,0.000,0.053,78.564
150.72804538,1365,450,11.248,469.700,0.000,0.594,1055.590
150.765006028,1366,450,12.900,903.200,69.500,0.647,1178.850
150.963457491,1367,450,12.605,886.800,57.900,0.517,832.219
151.750418287,1370,450,6.640,1062.700,502.600,0.361,609.175
22.5012844259,1366,5,1.618,80.200,0.000,0.094,104.472
22.5609811852,1368,5,7.911,764.000,108.300,0.396,454.921
22.9010505741,1369,5,5.665,733.800,233.800,0.225,255.058
36.4965188704,1443,5,1.596,89.200,0.000,0.068,72.948
36.8937491389,1445,5,5.855,647.200,102.400,0.254,297.435
1.58665119444,706,8,2.057,134.300,0.000,0.099,84.471
1.93178628704,707,8,2.904,239.500,36.100,0.204,197.018
8.56016175925,730,8,4.585,387.800,44.600,0.284,325.612
29.5723856389,805,8,4.676,398.800,69.500,0.284,344.912
43.9277080185,854,8,3.974,619.200,185.200,0.292,345.088
43.946717963,855,8,4.216,840.900,75.000,0.348,396.232
1.50398989815,107,220,7.868,709.900,149.000,0.331,311.446
6.46485907408,123,220,10.285,725.900,41.400,0.406,454.348
7.68075310185,131,220,8.094,1035.600,266.400,0.279,324.242
11.4946496204,151,220,2.687,270.100,9.000,0.149,168.548
11.5073400556,152,220,3.920,315.400,13.100,0.116,133.249
12.0560993889,156,220,11.141,988.100,214.300,0.438,528.593
15.8270950741,172,220,9.985,977.000,215.300,0.395,499.912
16.0771482407,176,220,7.943,733.600,57.000,0.251,292.604
16.5358126852,178,220,10.070,643.000,2.500,0.728,242.994
16.5634176944,179,220,8.904,730.900,0.000,0.457,346.119
17.5313414907,185,220,11.296,1306.900,393.900,0.420,496.028
19.537083463,191,220,7.700,405.700,35.100,0.337,379.246
21.4476177963,200,220,7.876,663.000,0.000,0.305,322.232
21.6762209537,202,220,12.747,1245.000,253.000,0.517,559.069
22.5021227963,204,220,7.938,1046.900,255.400,0.391,431.775
25.5022604352,223,220,6.622,587.700,0.000,0.292,334.263
26.5042978982,228,220,5.997,600.000,106.100,0.285,369.592
26.9133053333,232,220,7.918,656.000,31.400,0.351,427.298
27.588710463,235,220,3.984,279.600,0.000,0.149,157.218
29.6700672037,240,220,8.564,848.000,133.800,0.338,381.086
30.7710413148,246,220,7.905,796.000,118.700,0.248,302.471
32.5045600741,254,220,1.726,187.500,0.000,0.086,87.776
36.7647675463,270,220,12.041,1130.100,290.000,0.457,530.492
37.6237752222,277,220,6.329,515.700,34.800,0.292,347.807
53.4046099352,300,220,8.517,807.900,25.900,0.288,323.934
56.6520046482,315,220,2.629,167.400,0.000,0.126,136.147
58.5550011018,324,220,6.574,598.700,27.400,0.369,381.934
