Date: 1.94814230555 | Trip: 771 | Vehicle ID: 450 | Total Distance: 5.872 km | Total Time: 695.400 secs | Total Idling Time: 124.400 secs | Total Fuel Consumed: 0.225 L | Total CO2 Emissions: 260.521 g
Date: 5.64246542592 | Trip: 789 | Vehicle ID: 450 | Total Distance: 15.170 km | Total Time: 1764.900 secs | Total Idling Time: 412.100 secs | Total Fuel Consumed: 0.786 L | Total CO2 Emissions: 877.218 g
Date: 5.88032478704 | Trip: 790 | Vehicle ID: 450 | Total Distance: 1.722 km | Total Time: 386.900 secs | Total Idling Time: 220.800 secs | Total Fuel Consumed: 0.098 L | Total CO2 Emissions: 103.957 g
Date: 7.57921024074 | Trip: 799 | Vehicle ID: 450 | Total Distance: 3.314 km | Total Time: 243.400 secs | Total Idling Time: 35.300 secs | Total Fuel Consumed: 0.101 L | Total CO2 Emissions: 102.847 g
Date: 11.6603619907 | Trip: 811 | Vehicle ID: 450 | Total Distance: 1.746 km | Total Time: 124.000 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.084 L | Total CO2 Emissions: 99.046 g
Date: 12.6017712037 | Trip: 813 | Vehicle ID: 450 | Total Distance: 7.050 km | Total Time: 678.500 secs | Total Idling Time: 52.400 secs | Total Fuel Consumed: 0.359 L | Total CO2 Emissions: 464.407 g
Date: 12.8154499167 | Trip: 815 | Vehicle ID: 450 | Total Distance: 1.790 km | Total Time: 277.500 secs | Total Idling Time: 90.900 secs | Total Fuel Consumed: 0.123 L | Total CO2 Emissions: 162.634 g
Date: 13.8176214722 | Trip: 825 | Vehicle ID: 450 | Total Distance: 12.573 km | Total Time: 877.000 secs | Total Idling Time: 58.000 secs | Total Fuel Consumed: 0.588 L | Total CO2 Emissions: 682.067 g
Date: 15.6437102778 | Trip: 836 | Vehicle ID: 450 | Total Distance: 15.235 km | Total Time: 1836.600 secs | Total Idling Time: 440.800 secs | Total Fuel Consumed: 0.756 L | Total CO2 Emissions: 944.626 g
Date: 15.8762168056 | Trip: 837 | Vehicle ID: 450 | Total Distance: 1.807 km | Total Time: 406.400 secs | Total Idling Time: 204.700 secs | Total Fuel Consumed: 0.162 L | Total CO2 Emissions: 185.309 g
Date: 15.9459998148 | Trip: 838 | Vehicle ID: 450 | Total Distance: 8.101 km | Total Time: 758.200 secs | Total Idling Time: 96.800 secs | Total Fuel Consumed: 0.359 L | Total CO2 Emissions: 422.465 g
Date: 16.0743402407 | Trip: 840 | Vehicle ID: 450 | Total Distance: 13.188 km | Total Time: 1487.300 secs | Total Idling Time: 313.300 secs | Total Fuel Consumed: 0.556 L | Total CO2 Emissions: 702.646 g
Date: 16.6703478982 | Trip: 841 | Vehicle ID: 450 | Total Distance: 15.262 km | Total Time: 1700.100 secs | Total Idling Time: 327.000 secs | Total Fuel Consumed: 0.725 L | Total CO2 Emissions: 883.393 g
Date: 16.8305705278 | Trip: 842 | Vehicle ID: 450 | Total Distance: 1.790 km | Total Time: 205.100 secs | Total Idling Time: 34.900 secs | Total Fuel Consumed: 0.113 L | Total CO2 Emissions: 150.584 g
Date: 17.6849950185 | Trip: 845 | Vehicle ID: 450 | Total Distance: 9.283 km | Total Time: 1119.800 secs | Total Idling Time: 231.900 secs | Total Fuel Consumed: 0.416 L | Total CO2 Emissions: 521.346 g
Date: 18.642431213 | Trip: 848 | Vehicle ID: 450 | Total Distance: 13.754 km | Total Time: 1650.500 secs | Total Idling Time: 394.200 secs | Total Fuel Consumed: 0.728 L | Total CO2 Emissions: 882.872 g
Date: 18.7936712037 | Trip: 849 | Vehicle ID: 450 | Total Distance: 1.043 km | Total Time: 127.400 secs | Total Idling Time: 18.400 secs | Total Fuel Consumed: 0.059 L | Total CO2 Emissions: 75.218 g
Date: 19.6417971018 | Trip: 850 | Vehicle ID: 450 | Total Distance: 15.162 km | Total Time: 1821.800 secs | Total Idling Time: 430.600 secs | Total Fuel Consumed: 0.776 L | Total CO2 Emissions: 1021.272 g
Date: 21.7230266759 | Trip: 864 | Vehicle ID: 450 | Total Distance: 9.795 km | Total Time: 903.700 secs | Total Idling Time: 88.500 secs | Total Fuel Consumed: 0.477 L | Total CO2 Emissions: 577.960 g
Date: 21.7472038148 | Trip: 865 | Vehicle ID: 450 | Total Distance: 3.809 km | Total Time: 383.500 secs | Total Idling Time: 7.100 secs | Total Fuel Consumed: 0.195 L | Total CO2 Emissions: 245.888 g
